Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
08/2023,"Aku suka tomoro, tapi es coklatnya menurutku lebih kayak es milo",aku suka tomoro tapi es coklatnya menurutku lebih kayak es milo,aku suka tomoro tapi es coklatnya menurutku lebih kayak es milo
09/2023,menu barunya fore recommend bgt 10/10,menu barunya fore recommend bgt ,menu barunya fore recommend banget
09/2023,Kopi kenangan di aplikasi,kopi kenangan di aplikasi,kopi kenangan di aplikasi
09/2023,Fore tidak pernah mengecewakan pokoknyaaa,fore tidak pernah mengecewakan pokoknyaaa,fore tidak pernah mengecewakan pokoknyaaa
09/2023,matcha espresso by kopi kenangan,matcha espresso by kopi kenangan,matcha espresso oleh kopi kenangan
09/2023,matchanya kopi kenangan,matchanya kopi kenangan,matchanya kopi kenangan
09/2023,"aku juga pernah nder lagi dinas luar kota kan trus ke point coffee dan baru inget di depan indomart kalo aku ga bawa dompet dan bawa hp yg susah sinyal, alhasil aku minta tetring ke barista nya dan boleh eh ternyata di point gada paper bag alhasil aku harus beli jajan biar",aku juga pernah nder lagi dinas luar kota kan trus ke point coffee dan baru inget di depan indomart kalo aku ga bawa dompet dan bawa hp yg susah sinyal alhasil aku minta tetring ke barista nya dan boleh eh ternyata di point gada paper bag alhasil aku harus beli jajan biar,aku juga pernah nder lagi dinas luar kota kan terus ke point coffee dan baru inget di depan indomart kalau aku tidak bawa dompet dan bawa hp yang susah sinyal alhasil aku minta tetring ke barista nya dan boleh eh ternyata di point gada paper bag alhasil aku harus beli jajan biar
09/2023,Sebulan kmrin bner2 gila matcha lattenya tomoro smp tiap minggu pasti absen,sebulan kmrin bner gila matcha lattenya tomoro smp tiap minggu pasti absen,sebulan kmrin bner gila matcha lattenya tomoro smp tiap minggu pasti absen
09/2023,@ristiiiningtyas yasss liat thread ini kalo mau rekomen fore coffee, yasss liat thread ini kalo mau rekomen fore coffee,yasss lihat thread ini kalau mau rekomen fore coffee
09/2023,"Coba yg matcha latte nya... tp b aja, masih lebih suka yg point coffee :D",coba yg matcha latte nya tp b aja masih lebih suka yg point coffee d,coba yang matcha latte nya tapi b saja masih lebih suka yang point coffee di
09/2023,aku ga pernah beli matcha latte/freeze nya siee tp MATCHA ESPRESSO KOPI KENANGAN ENAK BANGETT SUMPIL,aku ga pernah beli matcha lattefreeze nya siee tp matcha espresso kopi kenangan enak bangett sumpil,aku tidak pernah beli matcha lattefreeze nya siee tapi matcha espresso kopi kenangan enak bangett sumpil
09/2023,ih mau coba matcha kopi kenangan ah,ih mau coba matcha kopi kenangan ah,ih mau coba matcha kopi kenangan ah
09/2023,"Di kediri point coffee nya tutup gegara idm nya direnov, sedih bgt padahal lagi ngidam",di kediri point coffee nya tutup gegara idm nya direnov sedih bgt padahal lagi ngidam,di kediri point coffee nya tutup gegara idm nya direnov sedih banget padahal lagi ngidam
09/2023,"Duh kepikiran mau order point coffee, tapi udh aman belom yak minum es (:",duh kepikiran mau order point coffee tapi udh aman belom yak minum es ,aduh terpikirkan mau order point coffee tapi sudah aman belum yak minum es
09/2023,"Nder, kamu bikin aku pengen order point coffee Tapi aku masih harus tunggu gajian sampe tgl 5",nder kamu bikin aku pengen order point coffee tapi aku masih harus tunggu gajian sampe tgl ,nder kamu bikin aku pengen order point coffee tapi aku masih harus tunggu gajian sampai tanggal
